Rango de edad:,¿En qué provincia residís actualmente?,¿Qué tanto te gusta el Rock?,¿Qué tanto te gusta el Pop?,¿Qué tanto te gusta la Música Clásica?,¿Qué tanto te gusta la Música Electrónica?,¿Qué tanto te gusta el Reggaetón?,¿Qué tanto te gusta la Cumbia?,¿Qué tanto te gusta el Hip Hop?,¿Qué tanto te gusta el Funk de Brasil?
+75,Santa Cruz,5,5,5,5,5,5,5,1
+75,La Pampa,1,1,1,1,1,1,1,1
+75,CABA,4,1,5,1,1,5,1,1
15 - 29,CABA,5,2,3,4,2,1,4,3
15 - 29,CABA,5,5,4,5,2,2,2,1
15 - 29,Buenos Aires,4,3,3,3,2,1,2,1
15 - 29,CABA,4,5,2,4,5,1,2,1
15 - 29,Salta,1,1,1,1,1,1,1,5
15 - 29,Buenos Aires,2,3,1,2,2,4,1,1
15 - 29,Buenos Aires,5,4,3,4,1,1,2,2
15 - 29,CABA,4,5,4,5,3,3,3,2
15 - 29,CABA,4,3,2,3,2,1,3,5
15 - 29,CABA,4,4,5,4,3,3,3,3
15 - 29,La Rioja,3,4,2,4,5,5,4,5
15 - 29,Buenos Aires,1,2,1,3,5,3,2,1
15 - 29,CABA,2,3,1,1,3,3,3,2
15 - 29,Tucuman,4,5,3,1,2,2,4,3
15 - 29,CABA,2,2,1,1,5,3,2,2
15 - 29,Buenos Aires,4,3,3,2,1,4,5,1
15 - 29,CABA,5,3,1,3,4,4,5,2
15 - 29,CABA,5,5,4,3,5,4,5,3
15 - 29,CABA,5,4,1,3,2,1,2,4
15 - 29,Buenos Aires,3,2,2,3,3,4,4,3
15 - 29,CABA,3,3,3,1,3,4,3,1
15 - 29,CABA,5,3,1,2,5,5,3,1
15 - 29,La Pampa,5,2,2,3,1,1,2,2
15 - 29,CABA,4,3,3,4,3,3,3,3
15 - 29,CABA,2,1,1,2,3,3,5,4
15 - 29,CABA,4,3,2,3,1,3,4,5
15 - 29,Buenos Aires,5,4,3,4,2,1,4,4
15 - 29,Buenos Aires,5,3,3,4,1,1,4,4
15 - 29,CABA,4,4,2,3,2,2,3,3
15 - 29,CABA,2,5,1,1,3,2,1,3
15 - 29,CABA,5,4,3,2,3,3,4,3
15 - 29,Buenos Aires,5,4,5,5,3,3,4,4
15 - 29,CABA,3,5,5,3,2,1,3,1
15 - 29,Buenos Aires,3,2,2,1,3,5,2,1
15 - 29,Buenos Aires,2,3,1,2,5,5,1,3
15 - 29,CABA,4,4,2,1,1,2,1,1
15 - 29,Buenos Aires,3,4,1,5,3,4,4,3
15 - 29,CABA,4,4,2,2,3,3,1,2
15 - 29,Buenos Aires,2,5,2,1,4,4,3,1
15 - 29,CABA,5,4,3,3,2,3,1,1
15 - 29,Buenos Aires,5,3,3,2,3,4,3,4
15 - 29,CABA,4,5,4,5,5,3,2,2
15 - 29,CABA,3,4,1,2,5,4,5,5
15 - 29,Cordoba,4,4,3,3,2,2,3,2
15 - 29,CABA,2,5,1,2,5,4,2,1
15 - 29,Buenos Aires,4,4,4,2,4,5,5,4
15 - 29,Catamarca,5,4,3,5,4,5,2,1
15 - 29,CABA,4,4,3,4,3,3,2,4
15 - 29,Buenos Aires,2,5,1,3,5,5,5,1
15 - 29,Buenos Aires,5,3,3,2,2,4,3,2
15 - 29,Rio Negro,4,4,1,2,4,4,2,2
15 - 29,Buenos Aires,2,5,1,2,4,3,1,1
15 - 29,Mendoza,2,4,1,3,3,2,3,4
15 - 29,Santa Fe,4,5,1,3,3,4,3,5
15 - 29,Buenos Aires,1,5,2,4,5,4,4,3
15 - 29,CABA,4,2,1,5,4,3,2,5
15 - 29,Mendoza,5,4,2,4,3,2,2,2
15 - 29,Buenos Aires,2,4,1,4,5,3,1,1
15 - 29,Cordoba,2,5,1,1,4,2,2,1
15 - 29,CABA,4,5,1,3,3,2,5,3
15 - 29,CABA,5,4,3,3,1,1,2,3
15 - 29,Santa Fe,1,4,2,1,1,1,1,1
15 - 29,Buenos Aires,5,5,3,5,4,5,3,1
15 - 29,CABA,3,5,3,4,3,3,3,1
15 - 29,Buenos Aires,5,3,1,1,2,3,1,1
15 - 29,Entre Rios,4,4,1,3,2,2,2,2
15 - 29,CABA,2,5,1,5,3,3,3,1
15 - 29,CABA,2,3,1,2,5,4,5,1
15 - 29,La Pampa,4,4,3,5,2,2,3,5
15 - 29,Buenos Aires,5,3,2,2,3,4,1,1
15 - 29,CABA,3,4,2,1,3,1,3,1
15 - 29,CABA,5,3,4,2,3,4,5,4
15 - 29,Buenos Aires,2,4,1,4,5,5,5,3
15 - 29,Buenos Aires,1,4,3,1,2,2,2,1
15 - 29,Buenos Aires,3,5,1,3,5,5,3,2
15 - 29,La Rioja,2,5,2,4,5,3,3,4
15 - 29,Buenos Aires,5,3,5,3,3,4,5,4
15 - 29,CABA,3,4,1,2,3,4,2,3
15 - 29,Buenos Aires,5,5,4,4,4,2,3,3
15 - 29,Buenos Aires,3,5,3,3,5,5,4,1
15 - 29,Buenos Aires,1,5,4,4,2,5,3,1
15 - 29,Santa Fe,5,5,5,1,4,3,1,1
15 - 29,Catamarca,3,3,1,1,4,2,1,1
15 - 29,Santa Fe,1,5,2,2,3,2,4,1
15 - 29,Chaco,2,2,2,2,3,4,2,4
15 - 29,Buenos Aires,3,5,1,3,4,5,3,1
15 - 29,CABA,2,3,2,2,4,2,2,5
15 - 29,Buenos Aires,3,5,3,1,3,5,3,1
15 - 29,Buenos Aires,2,5,1,2,5,3,2,2
15 - 29,Buenos Aires,3,3,4,2,2,2,1,5
15 - 29,CABA,3,4,2,3,5,4,2,1
15 - 29,CABA,1,4,4,4,4,2,4,4
15 - 29,Buenos Aires,5,5,2,2,5,5,5,3
15 - 29,CABA,4,4,2,3,3,2,2,3
15 - 29,Santa Fe,3,4,1,2,1,1,1,1
15 - 29,Buenos Aires,1,5,3,1,5,4,2,1
15 - 29,Buenos Aires,2,4,1,3,4,1,3,1
15 - 29,Buenos Aires,4,4,3,5,4,4,4,4
15 - 29,Buenos Aires,5,4,3,3,2,3,5,3
15 - 29,CABA,5,3,3,3,4,4,4,2
15 - 29,Buenos Aires,5,1,3,1,1,1,3,1
15 - 29,Buenos Aires,4,4,2,5,1,3,2,2
15 - 29,CABA,4,3,1,4,4,3,3,3
15 - 29,San Luis,3,4,1,4,3,3,1,4
15 - 29,CABA,4,4,5,2,3,2,3,1
15 - 29,Buenos Aires,3,5,2,2,1,2,2,2
15 - 29,CABA,3,5,3,5,4,4,3,1
15 - 29,Buenos Aires,3,5,4,3,2,1,3,2
15 - 29,Buenos Aires,2,3,1,2,2,2,1,1
15 - 29,CABA,5,3,2,1,3,4,3,5
15 - 29,Buenos Aires,5,5,3,2,4,5,3,3
15 - 29,San Luis,5,5,4,5,3,3,4,3
15 - 29,CABA,2,5,2,1,2,2,2,1
15 - 29,Buenos Aires,3,3,2,1,5,4,3,1
15 - 29,Misiones,5,1,3,3,3,4,3,1
15 - 29,Santa Fe,2,4,2,2,3,3,3,1
15 - 29,CABA,3,5,1,2,3,3,4,3
15 - 29,Rio Negro,3,2,1,1,4,4,2,3
15 - 29,Buenos Aires,5,5,4,3,4,2,3,4
15 - 29,Buenos Aires,4,5,4,4,3,3,3,2
15 - 29,Entre Rios,5,4,3,3,4,3,5,3
15 - 29,Buenos Aires,4,4,4,5,1,1,5,2
15 - 29,CABA,3,4,3,2,1,1,3,1
15 - 29,Buenos Aires,2,3,3,1,4,5,3,4
15 - 29,CABA,5,5,2,4,3,2,2,5
15 - 29,CABA,2,3,4,4,4,4,4,5
15 - 29,Cordoba,5,5,5,3,2,3,5,3
15 - 29,Buenos Aires,5,4,3,2,1,1,2,2
15 - 29,CABA,5,4,2,2,2,2,4,1
15 - 29,CABA,4,5,5,4,5,2,4,5
15 - 29,CABA,2,3,2,4,2,2,3,3
15 - 29,CABA,5,4,3,4,2,3,1,1
15 - 29,CABA,5,3,1,1,4,5,5,4
15 - 29,CABA,2,5,1,4,3,2,3,1
15 - 29,CABA,4,4,2,4,4,4,5,5
30 - 44,Cordoba,3,2,1,5,4,5,5,5
30 - 44,Misiones,1,1,1,1,1,1,1,5
30 - 44,Buenos Aires,3,3,2,2,3,4,3,2
30 - 44,Buenos Aires,5,4,3,3,3,4,2,1
30 - 44,Buenos Aires,5,5,3,1,2,4,1,5
30 - 44,CABA,3,3,2,2,1,2,2,2
30 - 44,Buenos Aires,3,5,2,1,2,2,1,1
30 - 44,CABA,4,5,1,1,3,3,1,1
30 - 44,La Pampa,5,5,1,5,5,5,5,5
30 - 44,Buenos Aires,1,1,1,5,1,1,1,1
30 - 44,CABA,3,3,2,4,2,4,1,2
30 - 44,CABA,5,3,2,1,1,1,1,2
30 - 44,CABA,5,3,2,1,3,4,2,2
30 - 44,CABA,5,3,2,2,1,3,2,3
30 - 44,Buenos Aires,4,4,2,1,2,3,2,2
30 - 44,Buenos Aires,4,4,2,2,3,1,3,3
30 - 44,CABA,2,2,2,1,5,5,1,5
30 - 44,CABA,5,5,3,4,2,3,2,3
30 - 44,CABA,5,2,3,2,1,1,1,2
45 - 60,CABA,5,5,3,4,1,3,4,5
45 - 60,CABA,5,5,5,5,1,1,2,3
45 - 60,CABA,3,3,4,5,4,2,2,3
45 - 60,CABA,3,5,1,1,3,2,1,1
45 - 60,CABA,4,5,5,1,3,3,3,3
45 - 60,CABA,2,2,3,3,1,1,4,5
45 - 60,CABA,5,4,2,3,2,4,2,2
45 - 60,CABA,3,5,2,2,1,2,2,3
45 - 60,Santa Cruz,1,1,5,1,1,1,1,1
45 - 60,CABA,5,5,3,3,2,2,4,5
45 - 60,CABA,5,5,5,2,1,1,4,4
45 - 60,CABA,4,3,3,1,1,1,1,2
45 - 60,CABA,5,5,3,3,1,1,3,1
45 - 60,CABA,5,5,4,3,1,1,1,2
45 - 60,CABA,5,4,4,5,1,1,1,1
45 - 60,Buenos Aires,5,5,3,4,1,1,4,1
45 - 60,CABA,4,5,3,5,3,3,4,3
45 - 60,CABA,4,4,1,1,1,2,2,3
45 - 60,CABA,3,2,1,2,1,1,2,3
45 - 60,CABA,3,3,1,2,2,4,2,1
45 - 60,CABA,5,5,3,1,1,1,3,3
45 - 60,CABA,2,3,4,1,3,4,2,1
45 - 60,CABA,4,4,1,2,1,3,2,1
45 - 60,CABA,4,3,1,3,1,1,1,1
45 - 60,CABA,4,4,2,3,3,1,2,2
45 - 60,CABA,2,5,3,1,1,4,1,3
45 - 60,CABA,5,5,5,5,1,3,5,5
45 - 60,CABA,5,5,3,3,1,1,1,3
45 - 60,CABA,5,3,5,1,4,4,2,2
45 - 60,CABA,4,4,4,1,1,1,1,2
45 - 60,Buenos Aires,5,5,5,5,3,1,3,3
45 - 60,CABA,3,4,5,5,1,4,1,5
45 - 60,Buenos Aires,2,4,3,4,4,3,2,4
45 - 60,CABA,4,4,4,4,2,3,3,3
45 - 60,CABA,5,4,4,1,1,1,1,1
45 - 60,Buenos Aires,4,4,3,5,1,5,4,2
45 - 60,CABA,4,5,3,1,3,1,3,2
45 - 60,CABA,5,5,2,4,1,2,2,4
45 - 60,CABA,5,5,3,2,1,1,1,1
45 - 60,CABA,5,4,4,2,1,1,2,4
61 - 75,CABA,3,3,5,2,1,5,1,1
61 - 75,CABA,5,5,4,3,1,3,1,3
61 - 75,Rio Negro,1,1,1,5,1,1,1,1
61 - 75,San Juan,1,1,1,1,5,1,1,1
61 - 75,Cordoba,5,5,5,5,5,1,5,5
61 - 75,Buenos Aires,4,5,5,3,5,5,2,1
61 - 75,CABA,5,3,2,1,1,1,3,1
61 - 75,CABA,5,3,1,1,1,2,1,1
61 - 75,Buenos Aires,5,5,4,2,1,1,1,2
61 - 75,CABA,1,1,3,1,2,1,1,1
